Date,Wrestlers,Card,Type of Match,Title Change,Promotion,Title,City,State,Country,Location,Latitude,Longitude
2/19/01,"Diamond Dallas Page, Kanyon",Diamond Dallas Page defeats Kanyon (7:13),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
2/19/01,"Hugh Morrus, Lance Storm",Hugh Morrus defeats Lance Storm (5:55),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
2/19/01,"Shannon Moore, Jamie Knoble",Shannon Moore defeats Jamie Knoble (4:45),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
2/19/01,"Rick Steiner, Lash LeRoux",Rick Steiner (c) defeats Lash LeRoux (3:47),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
2/12/01,"Billy Kidman, Elix Skipper",Billy Kidman defeats Elix Skipper (6:29),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/12/01,"Dustin Rhodes, Rick Steiner",Dustin Rhodes defeats Rick Steiner (8:01),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/12/01,"Dustin Rhodes, Rick Steiner",Dustin Rhodes vs. Rick Steiner - No Contest (1:00),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/12/01,"Shawn Stasiak, Chuck Palumbo",Shawn Stasiak defeats Chuck Palumbo (8:01),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/12/01,"Yang, Lash LeRoux",Yang defeats Lash LeRoux (9:24),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/12/01,"Lance Storm, The Cat",Lance Storm defeats The Cat (1:40),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/12/01,"Scott Steiner, Kevin Nash",Scott Steiner (c) defeats Kevin Nash by DQ (5:16),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #280,Biloxi,Mississippi,USA,"Biloxi,Mississippi,USA",30.396032,-88.885308
2/5/01,"Brian Adams, Buff Bagwell",Brian Adams vs. Buff Bagwell - Time Limit Draw (5:44),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
2/5/01,"Chuck Palumbo, Lance Storm, Mike Awesome",Chuck Palumbo & Sean O'Haire defeat Lance Storm & Mike Awesome (7:39),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
2/5/01,"Diamond Dallas Page, Scott Steiner",Diamond Dallas Page defeats Scott Steiner by DQ (4:24),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
2/5/01,"Rey Mysterio Jr., Chavo Guerrero Jr.",El Nino (Rey Mysterio Jr.) defeats Chavo Guerrero Jr. (6:42),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
2/5/01,"Scott Steiner, Evan Karagias, Jamie Knoble, The Jung Dragons, Kaz Hayashi, Yang","Scott Steiner defeats Evan Karagias, Jamie Knoble & The Jung Dragons (Kaz Hayashi & Yang) (3:02)",Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
2/5/01,"Scott Steiner, Kevin Nash, Rick Steiner",Scott Steiner defeats Kevin Nash & Rick Steiner (5:04),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
2/5/01,"Rick Steiner, The Franchise",Rick Steiner defeats The Franchise (c) (5:59) - TITLE CHANGE !!!,Champion In Match,Title Change,World Championship Wrestling,WCW Monday NITRO #279,Tupelo,Mississippi,USA,"Tupelo,Mississippi,USA",34.257607,-88.703386
1/29/01,"Chavo Guerrero Jr., Road Warrior Animal, Billy Kidman, Rey Mysterio Jr.",Chavo Guerrero Jr. & Road Warrior Animal defeat Billy Kidman & Rey Mysterio Jr. (3:27),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #278,Baltimore,Maryland,USA,"Baltimore,Maryland,USA",39.290385,-76.612189
1/29/01,"Lance Storm, Crowbar",Lance Storm defeats Crowbar (6:53),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #278,Baltimore,Maryland,USA,"Baltimore,Maryland,USA",39.290385,-76.612189
1/29/01,"Rick Steiner, The Franchise",Rick Steiner defeats The Franchise (5:39),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #278,Baltimore,Maryland,USA,"Baltimore,Maryland,USA",39.290385,-76.612189
1/29/01,"The Cat, Shawn Stasiak",The Cat defeats Shawn Stasiak (5:03),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #278,Baltimore,Maryland,USA,"Baltimore,Maryland,USA",39.290385,-76.612189
1/29/01,"Shannon Moore, Elix Skipper, Jamie Knoble, Yang",Shannon Moore defeats Elix Skipper and Jamie Knoble and Yang (4:58),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #278,Baltimore,Maryland,USA,"Baltimore,Maryland,USA",39.290385,-76.612189
1/29/01,"Kevin Nash, Totally Buff, Buff Bagwell, Lex Luger",Kevin Nash defeats Totally Buff (Buff Bagwell & Lex Luger) (3:50),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #278,Baltimore,Maryland,USA,"Baltimore,Maryland,USA",39.290385,-76.612189
1/15/01,"Billy Kidman, Rey Mysterio Jr., 3-Count, Shane Helms, Shannon Moore",Billy Kidman & Rey Mysterio Jr. defeat 3-Count (Shane Helms & Shannon Moore) (3:17),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/15/01,"The Cat, Bam Bam Bigelow",The Cat defeats Bam Bam Bigelow (1:33),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/15/01,"Konnan, Mike Awesome",Konnan defeats Mike Awesome (5:04),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/15/01,"The Franchise, General Rection",The Franchise (c) defeats General Rection (3:02),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/15/01,"Chavo Guerrero Jr., Crowbar",Chavo Guerrero Jr. (c) defeats Crowbar (6:17),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/15/01,"Kevin Nash, Scott Steiner",Kevin Nash defeats Scott Steiner (c) by DQ (5:11),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/15/01,"Chuck Palumbo, KroniK, Brian Adams, Bryan Clarke",Chuck Palumbo & Sean O'Haire (c) defeat KroniK (Brian Adams & Bryan Clarke) (7:27),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #276,Fort Wayne,Indiana,USA,"Fort Wayne,Indiana,USA",41.079273,-85.139351
1/8/01,"Big Ron, The Cat",Big Ron defeats The Cat (2:43),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
1/8/01,"Billy Kidman, Lance Storm",Billy Kidman defeats Lance Storm (4:07),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
1/8/01,"Chavo Guerrero Jr., Shannon Moore",Chavo Guerrero Jr. defeats Shannon Moore (5:54),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
1/8/01,"Dewayne Bruce, Goldberg, KroniK, Brian Adams, Bryan Clarke",Dewayne Bruce & Goldberg defeat KroniK (Brian Adams & Bryan Clarke) (3:52),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
1/8/01,"Sid Vicious, The Franchise",Sid Vicious defeats The Franchise (4:20),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
1/8/01,"Diamond Dallas Page, Kevin Nash, Chuck Palumbo","Diamond Dallas Page & Kevin Nash defeat Chuck Palumbo, Sean O'Haire (3:27)",Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
1/8/01,"Scott Steiner, Jeff Jarrett",Scott Steiner (c) vs. Jeff Jarrett - No Contest (5:08),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #275,St. Paul,Minnesota,USA,"St. Paul,Minnesota,USA",44.953703,-93.089958
12/18/00,"Goldberg, Buff Bagwell",Goldberg defeats Buff Bagwell by DQ (0:29),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/18/00,"The Cat, Alex Wright",The Cat defeats Alex Wright (5:55),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/18/00,"Terry Funk, Meng",Terry Funk (c) defeats Meng (5:11),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/18/00,"Shane Helms, Shannon Moore",Shane Helms defeats Shannon Moore (6:17),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/18/00,"Jeff Jarrett, Lance Storm",Jeff Jarrett defeats Lance Storm (4:44),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/18/00,"Jeff Jarrett, Mike Awesome",Jeff Jarrett defeats Mike Awesome (5:30),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/18/00,"Lance Storm, Rey Mysterio Jr.",Lance Storm defeats Rey Mysterio Jr. (5:29),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #274,Richmond,Virginia,USA,"Richmond,Virginia,USA",37.540725,-77.436048
12/4/00,"Big Vito, Brian Adams",Big Vito defeats Brian Adams by DQ (0:27),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
12/4/00,"Chavo Guerrero Jr., Kwee Wee",Chavo Guerrero Jr. defeats Kwee Wee (3:58),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
12/4/00,"Goldberg, MI Smooth",Goldberg defeats MI Smooth (0:51),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
12/4/00,"Jeff Jarrett, Konnan",Jeff Jarrett defeats Konnan (2:45),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
12/4/00,"Crowbar, Elix Skipper",Crowbar (c) defeats Elix Skipper (2:19),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
12/4/00,"Scott Steiner, General Rection",Scott Steiner (c) defeats General Rection (8:42),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
12/4/00,"The Insiders, Diamond Dallas Page, Kevin Nash, 3-Count, Shane Helms, Shannon Moore",The Insiders (Diamond Dallas Page & Kevin Nash) (c) defeat 3-Count (Shane Helms & Shannon Moore) (4:34),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #272,Lincoln,Nebraska,USA,"Lincoln,Nebraska,USA",40.825763,-96.685198
11/27/00,"Corporal Cajun, Lt. Loco, 3-Count, Shane Helms, Shannon Moore",Corporal Cajun & Lt. Loco defeat 3-Count (Shane Helms & Shannon Moore) (4:12),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"Goldberg, Reno",Goldberg defeats Reno (1:39),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"Mark Jindrak, The Insiders, Diamond Dallas Page, Kevin Nash",Mark Jindrak & Sean O'Haire vs. The Insiders (Diamond Dallas Page & Kevin Nash) - No Contest (4:27),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"Rey Mysterio Jr., Jeff Jarrett",Rey Mysterio Jr. defeats Jeff Jarrett by DQ (4:29),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"The Boogie Knights, Alex Wright, Disqo, Evan Karagias, Jamie Knoble",The Boogie Knights (Alex Wright & Disqo) defeat Evan Karagias & Jamie Knoble (2:55),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"Yang, Lance Storm",Yang defeats Lance Storm (3:20),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"General Rection, Bam Bam Bigelow",General Rection (c) defeats Bam Bam Bigelow (4:40),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/27/00,"Scott Steiner, Stevie Ray",Scott Steiner (c) defeats Stevie Ray (6:55),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #271,Rockford,Illinois,USA,"Rockford,Illinois,USA",42.271131,-89.093995
11/20/00,"Buff Bagwell, The Franchise",Buff Bagwell defeats The Franchise (5:45),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/20/00,"General Rection, Meng, Jim Duggan, Lance Storm",General Rection & Meng defeat Jim Duggan & Lance Storm (3:11),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/20/00,"Goldberg, Kwee Wee",Goldberg defeats Kwee Wee (0:29),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/20/00,"Goldberg, Mike Sanders",Goldberg defeats Mike Sanders (0:36),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/20/00,"Jamie Knoble, Yang",Jamie Knoble defeats Yang (4:46),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/20/00,"Booker T, Lex Luger",Booker T (c) defeats Lex Luger (3:46),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/20/00,"The Perfect Event, Chuck Palumbo, Shawn Stasiak, Alex Wright, Elix Skipper",The Perfect Event (Chuck Palumbo & Shawn Stasiak) defeat Alex Wright & Elix Skipper [Replacement for Disqo] (c) (3:22) - TITLE CHANGE !!!,Champion In Match,Title Change,World Championship Wrestling,WCW Monday NITRO #270,Augusta,Georgia,USA,"Augusta,Georgia,USA",33.473498,-82.010515
11/6/00,"Goldberg, Bam Bam Bigelow",Goldberg defeats Bam Bam Bigelow (2:43),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #268,Chicago,Illinois,USA,"Chicago,Illinois,USA",41.878114,-87.629798
